tokenId,domain,metadata.name,metadata.description,metadata.animation_url,metadata.image_full,metadata.image,metadata.stakingRequests,metadata.attributes.1.Environment,metadata.attributes.2.Front Component,metadata.attributes.3.Front Kit,metadata.attributes.4.Industry,metadata.attributes.5.Mirror,metadata.attributes.6.Number Plate,metadata.attributes.7.Pattern,metadata.attributes.8.Primary Color,metadata.attributes.9.Rear Component,metadata.attributes.10.Rear Kit,metadata.attributes.11.Scoop,metadata.attributes.12.Splitter,metadata.attributes.13.Spoiler
0xd21d39cafde7183673b84c9f3e45b2b19003a4eafc2b5c317a4009ff59dbf930,wilder.craft.genesis.0,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmXDEHgz8EufYFQhz9AfHcBChsKLFdqXuJRfkiiCcS4A9A,ipfs://QmXDEHgz8EufYFQhz9AfHcBChsKLFdqXuJRfkiiCcS4A9A,ipfs://QmPbjQqH1zqovMQ9dEyQ7YhGT1ZeGW7ExQGSEMPKzZKfao,disabled,Factory ZERO,None,None,Wilder.Craft,Type 1,420 651,Blurred Lines,Seabound,Type 1,Type 4,None,None,Type 1
0xabd0bdfa348dd5a3caf7fe9573d1507a0613df5a996154ee6b8b4d4ef3d3466a,wilder.craft.genesis.1,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmWRCbSobS9VP2ikXrq8XLARYRc3NBnDgcBoGZD8qsj7nq,ipfs://QmWRCbSobS9VP2ikXrq8XLARYRc3NBnDgcBoGZD8qsj7nq,ipfs://QmVvkaJkL7j1tT431zjvNjR6NApuSSUcErrAKDc6wRQfUN,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Stock,475 706,None,Memory,None,Type 3,None,Type 1,None
0x8c2cfac73e7e22be0dd8ff23403431573585cd377f5befe5a84766d26d2a8f91,wilder.craft.genesis.10,Model Z,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmPtREFqeYPkgSygVFCFRSx1anCFXLQNS6rRw4d9pBS9kE,ipfs://QmPtREFqeYPkgSygVFCFRSx1anCFXLQNS6rRw4d9pBS9kE,ipfs://QmNpxshLwhoSx8xMbeLRsBrTuuQXgjbBsvx6bHbV9afrK4,disabled,Factory ZERO,Type 2,Type 1,Wilder.Craft,Stock,704 935,thunder,Combination,Type 3,Type 1,Type 3,None,Type 4
0xd1949b593dee61b7c9021374e09caadc5ece3ab6cc78abe31ac53c8903917f01,wilder.craft.genesis.100,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmdUvTLi9wn7gm5L6qU2grE6XiB1GUYNJbbhUguNVDYECH,ipfs://QmdUvTLi9wn7gm5L6qU2grE6XiB1GUYNJbbhUguNVDYECH,ipfs://QmcwLVe2T1hdPXDX6f3MYRbjJ6AD5AJe7Z1bPeepvn2R32,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Stock,311 542,None,Tropics,None,None,Type 1,None,None
0x71120b7490a5fb4d931cd3d61ff45f25c6c1436513a24afb05274fc8759b0541,wilder.craft.genesis.101,Model W,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmPot8WDj5kEp8HXL6E75yHi644hbDU1TPdsTPRvxgUB7h,ipfs://QmPot8WDj5kEp8HXL6E75yHi644hbDU1TPdsTPRvxgUB7h,ipfs://QmWJ7YcgTUKhDbzv9hEwRXTCub7ydoLZuYRa4Y9WcTgF9X,disabled,Factory ZERO,Type 3,Type 1,Wilder.Craft,Type 1,681 912,Techno Weave,Ultra Cyber,None,Type 1,Type 2,None,None
0xcb738bf275d742fba79492efaf8eb44c055cf3c59c55f9987a963bd96caa010a,wilder.craft.genesis.102,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmcM3WCPhXTNQS3kFGMW26zmnvD2DUYLfVx95bxKuwhEX5,ipfs://QmcM3WCPhXTNQS3kFGMW26zmnvD2DUYLfVx95bxKuwhEX5,ipfs://QmUnXHifjVeEdiZCeMNHm1yZjN9jPA2taVmNJ11QEw5GF3,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Type 1,313 544,None,Northern Lights,None,None,Type 3,Type 2,None
0x808fba553641ed9ef5247cdd2c4edf5c267635cbca0cd5bf7c59f71811dc3506,wilder.craft.genesis.103,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQHDHKRFN9sXG9GuUzPoB4KsAU9QxRgAB3KpuevEg9hgh,ipfs://QmQHDHKRFN9sXG9GuUzPoB4KsAU9QxRgAB3KpuevEg9hgh,ipfs://QmPFZVhCXoFgyUQmGRWTTy3qjMK1T96ZncNYpsbszMLYqz,disabled,Factory ZERO,None,Type 1,Wilder.Craft,Stock,210 441,Alternate Reality,North West,None,None,None,None,None
0x074afde484d488bc6c1913e030b68b485ec4e07cefbdd1ce15f201f16053521e,wilder.craft.genesis.104,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmaK5qSXsBAwH7Rq3PYetxL6kjciWUWA5xE24UcdDvc7v8,ipfs://QmaK5qSXsBAwH7Rq3PYetxL6kjciWUWA5xE24UcdDvc7v8,ipfs://QmbUSpwdWsng7p6iD1VX9kRf8XP7Jm2XkjxNXohmDfz8t9,disabled,Factory ZERO,None,None,Wilder.Craft,Type 1,244 475,Blurred Lines,Memory,None,Type 2,Type 3,None,Type 4
0x2e988c1e6656e84bcc1e974b2ccd1e215608efc53b4f0a5dc766b4a5c00e173f,wilder.craft.genesis.105,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmNapk7TQU4RNBXPdMWHc5SsnDDREW9wWsXELqTBhSmTsR,ipfs://QmNapk7TQU4RNBXPdMWHc5SsnDDREW9wWsXELqTBhSmTsR,ipfs://QmZ1nejucFJk5atPiR592j2E1LS3T5KxWbiLrjF9jDcDAs,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Stock,314 545,None,Muted,None,None,Type 3,None,Type 1
0xc526a636c782b538a5af136d6da0646417a1c4c3a577c4b841eac83f4d8428f4,wilder.craft.genesis.106,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmYKBNV2HPSgTsuEmkYHseXWh8Je6hkPmnxmvaG75da6Wi,ipfs://QmYKBNV2HPSgTsuEmkYHseXWh8Je6hkPmnxmvaG75da6Wi,ipfs://QmSrTX2RjXZSagrDkDxXFCbAiMMEwjDrmcGBKx4dPGs1NU,disabled,Factory ZERO,Type 2,Type 1,Wilder.Craft,Type 1,516 747,Crossroads,Northern Lights,Type 1,Type 3,None,Type 2,None
0x30946d6754c8cf8d6955f444602e56fd1164cd6277641f487356ba6653328a84,wilder.craft.genesis.107,Model W,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmVfJn8wJcEkiHYP36DoQ1dEeVkvmjm1LF27vr41cXofrB,ipfs://QmVfJn8wJcEkiHYP36DoQ1dEeVkvmjm1LF27vr41cXofrB,ipfs://QmW631QW6tsPBy7Gg1Ph6uRaqjyQgyVkeS81wcsCh3urrb,disabled,Factory ZERO,Type 1,Type 2,Wilder.Craft,Stock,656 887,Error,Transcendent,None,Type 4,None,Type 2,None
0x46f2f7204e2c3d449538d4f368f107bbda56541f364306c226643e82f560ef20,wilder.craft.genesis.108,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmSmCd4Y6oDU7jtwYZPCu6guvSUkSYExeqdphbL33kXTEm,ipfs://QmSmCd4Y6oDU7jtwYZPCu6guvSUkSYExeqdphbL33kXTEm,ipfs://QmQpVQURK1fAP6bWuTUBCHFURtEFWPhzYTU6VBZK96EtuM,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Stock,343 574,Blurred Lines,Rose Wave,None,Type 2,Type 2,Type 2,Type 3
0x0cf305f5b8050c5274d20246152e1598b9e9bc3ae782c3a5ed1e8309493fb9e6,wilder.craft.genesis.109,Model Z,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQfFDZVZWZWK1hDnS1f3wfLMU7GtkbdbWUCuGYSUTKkZY,ipfs://QmQfFDZVZWZWK1hDnS1f3wfLMU7GtkbdbWUCuGYSUTKkZY,ipfs://QmZow6cvJfWx6YXqtWPnjcYGEdtqFWsxS8ANFK3rJPkygw,disabled,Factory ZERO,Type 2,None,Wilder.Craft,Type 1,697 928,Blurred Lines,Sensation,Type 1,Type 2,Type 1,Type 1,Type 1
0x17ca3e257820a9dcc0b3f45311639a99f5dbb571f5b2ef0c9197b33329dd594e,wilder.craft.genesis.11,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmTSdFBmoffpnRaaMtsrZ36auyBQ2wa5ET3RNHq3AhiJ2e,ipfs://QmTSdFBmoffpnRaaMtsrZ36auyBQ2wa5ET3RNHq3AhiJ2e,ipfs://QmYTSekuZP7XWyQmUKc9cfzjLif9xMQy1bKsXw1RdS8EiC,disabled,Factory ZERO,None,Type 1,Wilder.Craft,Type 1,252 483,None,Smooth Jazz,None,None,None,Type 1,Type 1
0x1c3dfdd434ea59c39d637510cca111ae7f8d1f36fabb47bcfc7c9f256d1ca631,wilder.craft.genesis.110,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmaQaRBP62bpW1HBwmqHFJX2TmUyjx3fjQRyib6zYrt2gk,ipfs://QmaQaRBP62bpW1HBwmqHFJX2TmUyjx3fjQRyib6zYrt2gk,ipfs://QmeCXTEKtsXciF4AHLEFouiqQd1WTtssxCsocJ93Ry1hS5,disabled,Factory ZERO,Type 2,None,Wilder.Craft,Stock,376 607,Crossroads,Transition,Type 1,Type 3,None,Type 2,Type 1
0x3decc1fe48e3a827e277d5b90342fbee80536705254c43b7f75706ca7da8a96d,wilder.craft.genesis.111,Model O,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmNyyh5svB6fsuodeiaf5aAPsibT4eaMUVGEU3aBLqB7TE,ipfs://QmNyyh5svB6fsuodeiaf5aAPsibT4eaMUVGEU3aBLqB7TE,ipfs://QmXj3fA7Rs9g26XbpzpQB8dounCBDFnCZTmHPedkMWhmsZ,disabled,Factory ZERO,None,None,Wilder.Craft,Stock,567 798,Error,North West,Type 1,Type 1,None,Type 1,Type 2
0x9fdad3126c26e91702753cbc18a1996862da818c8866cc01a1271595d8efcc85,wilder.craft.genesis.112,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmZvXe46cFiEgVz2YRUc4mCrynMGirfVoYVUTh8PELcJXK,ipfs://QmZvXe46cFiEgVz2YRUc4mCrynMGirfVoYVUTh8PELcJXK,ipfs://QmX1bt7qdvRKYJrNpbmK4kge7g1Y5KJYrvDmLaRZSYTbS8,disabled,Factory ZERO,Type 1,Type 1,Wilder.Craft,Stock,495 726,Crossroads,Transition,None,Type 3,None,Type 1,None
0x7289084d7ab8f3bcf85f695898b805a474ad6fa5c7e2d7146f85d050d199278f,wilder.craft.genesis.113,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQ8XmjvkpeA9DRw8Yi65EhAQF9eTijFz1DjonXs6HwYL1,ipfs://QmQ8XmjvkpeA9DRw8Yi65EhAQF9eTijFz1DjonXs6HwYL1,ipfs://QmP4jqcCa2qw5UobMSzmN3fPojED8qxos5BHb5DASjYPu4,disabled,Factory ZERO,None,Type 2,Wilder.Craft,Type 1,205 436,Blurred Lines,Northern Lights,None,Type 1,None,Type 1,None
0x8afdf52f17c0d0e93c1eddf9e505e741421dd323b975b555b1bbf6b95caa533a,wilder.craft.genesis.114,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmRYNr9dCCKocTvZ4HGgQhYHikZsSjMiBh4kHmWXknkqqf,ipfs://QmRYNr9dCCKocTvZ4HGgQhYHikZsSjMiBh4kHmWXknkqqf,ipfs://QmSCtGqmS8nXznwyjqTKMxGhy3LsXH6YbM8ViEPYsnTovy,disabled,Factory ZERO,None,None,Wilder.Craft,Type 1,300 531,Blurred Lines,North West,Type 1,Type 3,Type 3,None,Type 2
0xdc9305674d4e7424757ac1315b4af07f0c48fbb2afbf893faa29f5f8e7786acb,wilder.craft.genesis.115,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmTP4kF5KGotSq6AGzynucXrwtG7EvqvVGjxweiFZNEdD9,ipfs://QmTP4kF5KGotSq6AGzynucXrwtG7EvqvVGjxweiFZNEdD9,ipfs://QmYReguquS2Y9aHjcyYpt2cCLWZtRxE3pQQCLV23wPSCSk,disabled,Factory ZERO,Type 2,Type 1,Wilder.Craft,Type 1,353 584,None,Muted,Type 2,None,Type 1,Type 2,None
0x88c116d1fb945267782c7e39d992e64c3b5794eefc47ca077d6a540fb2a286b5,wilder.craft.genesis.116,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmeCgrLNmxkFfbkKD5W9LWdkZoMHoxDBQH4akU2o2bFxvJ,ipfs://QmeCgrLNmxkFfbkKD5W9LWdkZoMHoxDBQH4akU2o2bFxvJ,ipfs://QmXJbZwbeGrs3iYJwP1RLhgNGvd3waDgm44vnRcJQ16DxN,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Type 1,497 728,Crossroads,Smooth Jazz,Type 1,Type 3,None,Type 1,None
0xff0b7be09f97cd441b0bd34036498c0fe7852a8861a9021a4b273e6adfcda06d,wilder.craft.genesis.117,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQCPLkHnnvXgMimg3NJDxrA5dcRcvBdJogg9ebxhv2Vvr,ipfs://QmQCPLkHnnvXgMimg3NJDxrA5dcRcvBdJogg9ebxhv2Vvr,ipfs://QmWDeEf4uJPLgxGdvR5snhvwVjHKBg546EQyw4Xxt9b3QE,disabled,Factory ZERO,Type 2,Type 2,Wilder.Craft,Type 1,349 580,None,Northern Lights,Type 1,Type 1,Type 1,Type 1,None
0x0ef2406952fcb0179f7443b647090f160a68aaf8d18298b990305e8251be4b12,wilder.craft.genesis.118,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQnDj3uv6gQg9aJRrk4KYGD9nr9yZhbHvRSoLjiU1j5vF,ipfs://QmQnDj3uv6gQg9aJRrk4KYGD9nr9yZhbHvRSoLjiU1j5vF,ipfs://QmVuK5SEqoqqe7j5gvjhC7qSR3pEzuBNLShF3ChmoMmx9J,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Stock,519 750,Crossroads,Cyber Wave,Type 1,Type 4,None,Type 1,Type 1
0x914cf9bcba923bf47c534cabe20ca0b8c428580c531a381d0bd925ad67b466fa,wilder.craft.genesis.119,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmZpELog8Jpwjrmx7zfrwuTgrtLgSXji9QgsideCm6s1mb,ipfs://QmZpELog8Jpwjrmx7zfrwuTgrtLgSXji9QgsideCm6s1mb,ipfs://QmZw4o6XjBBknPxq3HMPvRf6MyfXdy4eSKyaNKBGm8m2PU,disabled,Factory ZERO,None,None,Wilder.Craft,Stock,247 478,None,Teal Tones,None,Type 1,None,Type 1,None
0x3d55c861f84dcf78658bb7e27ef5aad14f92f24d40410a6d9ed859e8a96f7e80,wilder.craft.genesis.12,Model O,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://Qmcwuic7dgy7CXQkyx2ARMGjat49P6Hd5q4YR1EvQuXQDc,ipfs://Qmcwuic7dgy7CXQkyx2ARMGjat49P6Hd5q4YR1EvQuXQDc,ipfs://QmcW2orzVvzZs45iifK3G847Kkbbf6w9vyiupo3m4aYjjR,disabled,Factory ZERO,Type 1,Type 2,Wilder.Craft,Stock,634 865,Blurred Lines,Pecan Cream,Type 2,Type 3,None,None,Type 4
0x72b3323ff7a9483a66c18b5f4efb72fa187dc3aa5f8e0094d52aed4adb12130f,wilder.craft.genesis.120,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmWutuyxz4ui8i8N2mCzbU78qfZcDzsvtNKr5TgyoK33UZ,ipfs://QmWutuyxz4ui8i8N2mCzbU78qfZcDzsvtNKr5TgyoK33UZ,ipfs://QmNakQqMX2f1d3K293uhDVhzheUCcV2qXB6rV1VcSo3L8C,disabled,Factory ZERO,Type 2,None,Wilder.Craft,Stock,223 454,Alternate Reality,Northern Lights,Type 1,Type 2,Type 1,Type 2,Type 4
0xcd5769eecc1874efc67a11f636c366ae38b1e12dd54f66a6ef065ed88fd58934,wilder.craft.genesis.121,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmZeGhegEH5D9rWZ7i8qFSmtFmV5mqsRXTZxVbU4NHvHSx,ipfs://QmZeGhegEH5D9rWZ7i8qFSmtFmV5mqsRXTZxVbU4NHvHSx,ipfs://QmYFWbjXFEpxaYwZZ4zWzZaKP72VDqxoQJbKDjzFAKn7m8,disabled,Factory ZERO,Type 2,None,Wilder.Craft,Stock,522 753,Blurred Lines,Lush,None,Type 1,None,Type 1,Type 1
0x8fec869a75a1971480480e45b4ef69deb92898f7f5e0df98952a42eeee4937d0,wilder.craft.genesis.122,Model E,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmX7yYF1eAaU2PLVNpGrS6AwRNVDT1YWsjMhfpEyXR5eTg,ipfs://QmX7yYF1eAaU2PLVNpGrS6AwRNVDT1YWsjMhfpEyXR5eTg,ipfs://QmR7R4CzBRmbqv3CFb9qP2K341bjppEg2YUXarE7oqEfvR,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Type 1,501 732,None,Cyber Wave,None,Type 2,None,None,Type 1
0x3bf54251a8d3c6733e5aea49bfe99916c47af4c4a3f7631e3a72ed7c550cc533,wilder.craft.genesis.123,Model W,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmQfow9b9hseC7sXMA37TkH8vKwPvoW8h3BkHEuE3oK4Dg,ipfs://QmQfow9b9hseC7sXMA37TkH8vKwPvoW8h3BkHEuE3oK4Dg,ipfs://QmV3s9vzkCk85rrRpEYGU93DTunYV8ftHewAc1sJ94Cqrh,disabled,Factory ZERO,Type 1,None,Wilder.Craft,Type 1,653 884,Blurred Lines,Da Riddler,Type 1,Type 3,Type 3,Type 2,Type 3
0xe8ca71866c5ca608dbfdd067503e740ea044595dd5b5d944b56fa704f623670f,wilder.craft.genesis.124,Model W,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmdbVq6nByv7FxN6gGhsWtruxPKy7upMTMyxgSqWLRRrQz,ipfs://QmdbVq6nByv7FxN6gGhsWtruxPKy7upMTMyxgSqWLRRrQz,ipfs://QmUkYu2MPEe9JAy8X5Q8EbeG7s4teu4pvYtaYtV6C5bWQy,disabled,Factory ZERO,Type 2,Type 2,Wilder.Craft,Stock,690 921,Trinity,Lights,Type 3,Type 3,Type 1,None,Type 2
0xce180f063e630502f74affaff71fbe94fad3b22ea80b6d04371eb22f3497e24a,wilder.craft.genesis.125,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmfFfEsGASzvLqPBBaM2rF6HGtXMrZ7bXuunA9yVzHveQr,ipfs://QmfFfEsGASzvLqPBBaM2rF6HGtXMrZ7bXuunA9yVzHveQr,ipfs://Qme4FnNtWCtNeinW9JATfBh1eutiWfqrKp8DcZZYze73dS,disabled,Factory ZERO,None,Type 2,Wilder.Craft,Stock,304 535,Blurred Lines,Transition,Type 1,Type 2,Type 1,None,Type 3
0x15fd56fd649c9952f2acfa760ec71d99b5338afea4f7ef7364ac9e38f61bf99a,wilder.craft.genesis.126,Model W,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmWg9B7JL3UrGYUB92eVYymfRhFasAtcX8cFjkHNphjv7k,ipfs://QmWg9B7JL3UrGYUB92eVYymfRhFasAtcX8cFjkHNphjv7k,ipfs://QmT3B1BmwVWiCQTTFyKcTtj1PEZ2ACjFdnspQ6gLPW5NGK,disabled,Factory ZERO,Type 2,Type 2,Wilder.Craft,Type 1,657 888,Error,Transcendent,None,Type 4,Type 1,Type 1,None
0xb3f45081f9acf957fc7ed3af83b75da2266ac30282b9e011da13ae4956c2b32c,wilder.craft.genesis.127,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmV584ZgeEb9QhBDLuTTWFe7x3UK8Y1HSFpoz5yjb2Pe5e,ipfs://QmV584ZgeEb9QhBDLuTTWFe7x3UK8Y1HSFpoz5yjb2Pe5e,ipfs://QmPsqzw4bxfSS3szTUmqXzv3aAZpDXmAb2TraYxDnAfzhR,disabled,Factory ZERO,None,Type 1,Wilder.Craft,Stock,274 505,None,Deep Wilderness,None,None,Type 2,None,Type 1
0xf3acde71b810f3974eb03d1f3f6b33830e8a45f92d47ba0da986426f8806e64e,wilder.craft.genesis.128,Model M,A new dimension of transportation in Wilder World. Metaverse enabled Hyper Crafts that will allow you to go from point A to point Z in 5D. Our genesis Craft collection featuring 501 unique procedurally generated NFTs.,ipfs://QmemgjxDL6F8TM5qPE9Hnha1oH2G6qMFLreHdooiA44hZM,ipfs://QmemgjxDL6F8TM5qPE9Hnha1oH2G6qMFLreHdooiA44hZM,ipfs://QmerDCg2A7eNK3y7Te7z9DLA8CoHsE6c4zJEMaifwR5npZ,disabled,Factory ZERO,Type 3,None,Wilder.Craft,Stock,391 622,WILD Animal,Teal Tones,Type 2,None,Type 2,None,None
