tokenId,domain,metadata.name,metadata.description,metadata.image,metadata.animation_url,metadata.stakingRequests,metadata.attributes.1.Base Model,metadata.attributes.2.Industry,metadata.attributes.3.Primary Color,metadata.attributes.4.Primary Material,metadata.attributes.5.Secondary Color,metadata.attributes.6.Secondary Material
0xe6109e06d1071e6068f10ab4d892cb3ab4d3d25a60e0a340e6e8080b2b8add78,wilder.kicks.airwild.season1.0,Sorbet Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://Qmcs5tBD4wkFCk73a1xtPbCcxmud1ivF8MAhLxiD6WfvSh,ipfs://QmWt1rrgpGZtGHEopdzdj7HooJyvniPCDDftypcVmU8WKw,disabled,Zero,Wilder.Kicks,Blue,Resin,Yellow,Steel
0x92b50ecb85d73c2f2649a06184bfc4556baa9a8da136c8a095e9ba29f2e6f67b,wilder.kicks.airwild.season1.1,Hydra Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmW9brpmgt4ACfCuMfJwRfv2ULn1rHam2j4hoFxZMdnaVS,ipfs://QmZ3cD7N6ZqQdN3gjV4m4AUJqmZrktuWsirV9HwcCiUjeq,disabled,Zero,Wilder.Kicks,Green,Resin,Red,Steel
0xd85c2fa1c2946db36b7133d4319382a30dad2be7c286b0ce53ca202ac375b414,wilder.kicks.airwild.season1.10,Spectrum Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmQ7q2io7HQR4EmHXTP8XWkxB2kFMVPikDRET6kGArZqdx,ipfs://QmX5GUfaEbDJySCuuiezaDrvhYLdPCE3TXTkb4hgDSCqUa,disabled,Zero,Wilder.Kicks,White,Resin,Blue,Steel
0x6ded78827b21cc43d08ade85c809ca95962bed2a3acaf1f1ca97c5cc251845bd,wilder.kicks.airwild.season1.100,Select Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmWhLNw3dpcmuaMiKzj9DyMobYULcTuwmLw9gHy7Z12K85,ipfs://QmZDgB4v1crHYnMqVUKzoZ74TTqWb2qfFCAjtMTbhkdvQ5,disabled,Ribbon,Wilder.Kicks,Red,Resin,Mars,Steel
0x2bd7e80188d9468adb34407a25d57d7cd5d9315ff05025114abedd9023b48e36,wilder.kicks.airwild.season1.101,Metal Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmRrn4ZiH8eFShNxpykQRuuok5tUkBSKSLh8WnpQjov7d1,ipfs://QmTmZJn3TpX6V72LMFeimVH5pXzotVHfBZmvrFip9KgTbm,disabled,Fear,Wilder.Kicks,None,Steel,None,None
0x8a28233092f19bf38efa4fcd9df6ec06fe313d410fdaf50942f587f56b360996,wilder.kicks.airwild.season1.102,Racer Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmfHrM66FVwzSZsAGMGV86LhfKoT3kKZPkbRhsAXqqDFpj,ipfs://QmdeXVcVbt1WvxQkCxtYT33BVdFCxxzC2zPrqbwhuriv2y,disabled,Zero,Wilder.Kicks,Red,Resin,Red,Steel
0xa343a84994a299817a9f7725c86bde62711d9e965bf4285dc155042e3c6be556,wilder.kicks.airwild.season1.103,Matrix Ribbon,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmUuK7JmTNc3yBUE5E7iMfsamT7sd43J5W9H5CYFXa18Lx,ipfs://QmVVNdgQtxWWMiqoCohjsUaUZUmuihzG8CFJ8YgqskKN7R,disabled,Ribbon,Wilder.Kicks,Blue,Resin,Yellow,Steel
0x23b0b752e8ea98dabaf1746f2bf5e99b061070711dbb58157b25a54bb1876792,wilder.kicks.airwild.season1.104,Cyprus Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmQVfEXhpJg3SbagiZyGbNRTJFQp9uKWBefvfvJvW2brcw,ipfs://QmWY9tvLRo4zdBt5UbsPKbPBxt5pT84EgjjXZr53WwA4UV,disabled,Zero,Wilder.Kicks,Red,Resin,Orange,Steel
0x4e83e37f1653394f6b9fbfb2be35161d15d079d763ffd5c564b48003d9a51480,wilder.kicks.airwild.season1.105,Meditate Mandala,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmREZ4EKppaGmZj6QSzP3YNBwnw5adYsui1uCpDiiZeTxG,ipfs://Qma65F1ZnnwhZf5ZLcFEzjrBLefbjCrno91mY3Eanv6CCk,disabled,Mandala,Wilder.Kicks,White,Resin,Green,Steel
0x6cf6a139b0a6a529012c03a356e46c4420037f89306b10c5fae3b3988dc6f7dc,wilder.kicks.airwild.season1.106,Node Zero,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmNPB8BgwQngsEmrWV913thYASDx3feCYaPH54WicXFsUd,ipfs://QmRiYphjkqA7HMi2jmumAtfqsbAKVu6zWk7vRvC4UgYhhw,disabled,Zero,Wilder.Kicks,Green,Resin,White,Steel
0x80414ff4161806271617a792ee8e8fdbcadb1a1d427b647eb7c8e83f5499fdf4,wilder.kicks.airwild.season1.107,Zero Fear,Metaverse ready sneakers brought to you by Wilder World x Pet Liger. Featuring 198 unique digital kicks that have dynamic gameplay attributes in Wilder World. All pairs are procedurally generated 1 of 1 NFTs with various levels of rarity.,ipfs://QmWCAvR6SFYknXSXFvnN2oeJgZAdY9jGsxHz6UwPntFvwb,ipfs://QmRj3FqajwKGFHHjJQYyhhci3bDuyW1TC3F4wqAg9b8jEg,disabled,Fear,Wilder.Kicks,Blue,Resin,Blue,Steel
