tokenId,domain,metadata.animation_url,metadata.image,metadata.name,metadata.attributes.1.Bottom Fairing,metadata.attributes.2.Chain Cap,metadata.attributes.3.Color,metadata.attributes.4.Exhaust Pipe,metadata.attributes.5.Headlight,metadata.attributes.6.Number Plate,metadata.attributes.7.Pattern,metadata.attributes.8.Side Fairing,metadata.attributes.9.Speedometer,metadata.attributes.10.Top Chassis,metadata.attributes.11.Wheel,metadata.attributes.12.Wheel Fairing,metadata.attributes.13.Windshield,metadata.description
0xb7b4bf6561cb4ea62fdc16a97fca02fb0f4b665c63e4a0be021c6603ad709925,wilder.moto.genesis.0,ipfs://Qmdgma1xTwXiE9kDdRMKDhUX3nmwq5X9rEWEDaJrDXGbuM,ipfs://QmTmR6eVcisrCcTQEo4s4sKzWq1XaqQPG4sN8ohTfWFEgb,Moto #1,Type 4,Type 2,Paradise,Solo,Enduro,VR-919,Static,Type 2,Digital,Cruiser,Street,Type 1,Type 2,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x1bd6eaadff01aa34d93f56479719dfa28017bf3f7fcea8b6c5c740415f1d3b35,wilder.moto.genesis.1,ipfs://QmaiosKAuMdX8huUAgGo4kGJ2z8mdQwngLLVvYv9ixPK39,ipfs://QmdnHdyJg2KLCYmJchhBRwUTmX5EACBbLbP9cECKSEPXDz,Moto #2,Type 4,Type 1,Flo,Solo,Base,WW-814,Static,Type 1,Sidecar,Mechanical,Sport,Super Sport,Type 2,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0xc0fdc754f147954dce948aa68eae476db7b8533e92eb6570d6fc4c9f7ad99845,wilder.moto.genesis.10,ipfs://QmVMxutr5WqChA4SmsNEJbePDVK1R55LFn1zo4X9vmDaNt,ipfs://QmfVuWvQcGvmEgybaTuDsknzNCmZdSYWLZdZD75SBS8mPR,Moto #11,Type 4,Type 2,Paradise,Trifecta,Enduro,MT-227,Diamond,Type 4,Digital,Cruiser,Street,Type 1,Type 2,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x58a24c145a0755942e68a044357d09367f33101a13f9382c4aa678a50d1d57e2,wilder.moto.genesis.100,ipfs://QmeT8jxzgbtbHh7bq9qM1NgwBFKLoexbJkDwRLTfvs2bMo,ipfs://QmbVYPi3dbU44kWrbZSoS3BT4KSe67Ldp8fLV2bYtUsPsp,Moto #101,Type 2,Type 1,Paradise,Trifecta,Base,MM-434,Hexo,Type 2,Mechanical,Cruiser,Paddle,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x748fb8796b58bbcd3af13c9e09372e1bcf2ae1aca6a0943f56dee7c0088afae4,wilder.moto.genesis.1000,ipfs://QmVZtvWmkXnmk5yvfTvVMt7qEt1edphEMwsJDaJznMLHfH,ipfs://QmNwq7HGVKtkTuBCVtLdN2Nowk1MtRwoUu9ZCdmq7bE83P,Moto #1001,Type 2,Type 2,Paradise,Solo,Base,WW-965,Static,Type 2,Mechanical,Cruiser,Street,Type 3,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0xff1b5b8b7971a1111c986192be94717fa445bc014cc71252472ca8a072802582,wilder.moto.genesis.1001,ipfs://QmcXJg6r3LvFcswjzCS64yqsTMUhLFTLWdzDHxC97UnMaA,ipfs://QmcP3ZTdJZ1hjQYjK7Ms6YeKep3xuCnMavsHgQeuvwgc8W,Moto #1002,Type 2,Type 2,Flo,Solo,Base,WM-552,Static,Type 2,Mechanical,Cruiser,Street,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x934eea69b5fd1fd6c7fcee7e5a920e5c821d13a5b27bb8194ca42c0778542293,wilder.moto.genesis.1002,ipfs://QmdF1xsP8MrKogpT6YGgxAU1bo6ZTHU1LsF2vjAuysg2Rh,ipfs://QmVRSP6uJRx3r1vyRiLAjHMWa8oXTbJUquDLiD96oXQhfM,Moto #1003,Type 1,Type 1,Q,Solo,Sport,VR-791,Diamond,Type 1,Digital,Cruiser,Dirt,Type 1,Type 1,"A traditional design with the capability to adapt to a variety of terrain while maintaining a strength for easy riding, even over long distances. Drivers will experience strong and steady control for a smooth, reliable ride."
0x3cf4fd2a7622d19a0b2e60a0150150e860769c2efb4ebfbb3f8a0ab1e5f14b74,wilder.moto.genesis.1003,ipfs://QmS5sJSgKapVYtVWDKm9UhEVoUUnzfKJvmJeVGG8pDkzr1,ipfs://QmaDy3f8UdAf391AVBxjoy7uptGdeZWm4g7SZ36MhXbTTa,Moto #1004,Type 3,Type 1,Sunshine,Solo,Sport,ZZ-554,Static,Type 1,Mechanical,Sport,Super Sport,Type 4,Type 1,Designed for the racer in all of us looking for the ultimate source of speed and agility. The Sport design offers powerful torque and precise handling to give riders the edge coming out of every corner.
0x8f136d273501d1842f08fcc07422ac6aaab0357c32ca60213195f8fbc9f5e4ab,wilder.moto.genesis.1004,ipfs://QmTkrFXPKpHTnkU7M2iHTDWEnRCqx3ox9j73x5MR6gWAdj,ipfs://QmNjFgbqrBzq8yGEACctcFBCnmJbLDyothVf55CUdukYhB,Moto #1005,Type 6,Type 2,Rayne,Solo,Knight,MT-111,Static,Type 1,Mechanical,Exotic,Bladeless,Type 5,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
0x110f9141018b1c0ea6a5898399e14df546aa9ccba340a8d63c90dc3fc70d8762,wilder.moto.genesis.1005,ipfs://QmPkmohrEsUF19JiVnfcgWMaDccRzRdkVjTtxZwYGuvtm8,ipfs://QmU5eVgLD3MPiUREbejZmZwsBVZNpJe2MMZyD68pC6YDMS,Moto #1006,Type 7,Type 1,Paradise,Solo,Base,WM-261,Wonder,Type 1,Mechanical,Exotic,Blade,Type 6,Type 1,"Be released from the challenges of terrain in this bold experiment from Frank Wilderâs lab. This ultra-stylish and bold Moto hovers inches off the ground, removing any friction standing between Wilders and its top speed."
