tokenId,domain,metadata.description,metadata.image,metadata.animation_url,metadata.image_full,metadata.name,metadata.stakingRequests,metadata.attributes.1.Bonnet,metadata.attributes.2.Bull Bar,metadata.attributes.3.Car Name,metadata.attributes.4.Color,metadata.attributes.5.Environment,metadata.attributes.6.Headlight Color,metadata.attributes.7.Number Plate,metadata.attributes.8.Number Plate Color,metadata.attributes.9.Pattern,metadata.attributes.10.Rear Bar,metadata.attributes.11.Rim,metadata.attributes.12.Spoiler,metadata.attributes.13.Tire and Rim Color,metadata.attributes.14.Wilder Logo Color
0x540346d6320c1aceba9a928227dcb9e88b93343dd00914423219e13f9ef5a879,wilder.wheels.genesis.0,Worgan,ipfs://QmedrtBJfbn2xFTRqM8DEVJpCSwkaQgTHCFfHc6QhxQCeF,ipfs://QmYw7sWx6jMSGh9xJovwJhdtRHSa9hPgRVCVu2rtyws1Yv,ipfs://QmV9wtRp5LmRShFHPQibW6TBNKXhc8zLHoCYLVs4KmG8Bq,Wero SuperSports 2010,disabled,Stock,Stock,Worgan Wero SuperSports 2010,North West,The Wilder Hideout,Cool White,0500 3911,Purple,Fragment,Stock,Stock,Type 1,Orange,Blue
0xc9e4cc3134d9a292304eccc0ea5269d7d2133a14ef76c1ab8447b37236b0cbf7,wilder.wheels.genesis.1,Wokewagen,ipfs://QmYTa51NcedEUW1D5mvHSuGYpjWsMQq485Zs7Ge5i1QxsA,ipfs://QmTcmeLVLVzR54N4Q8UDMDzZgD6nmKGnuHj1E7LtYLZEN2,ipfs://QmaxgrYz1XHVizfzG65E9qyJjJCsgL6pZW53xNS7PVcbWW,Warmann Ghia 1967,disabled,Stock,Type 1,Wokewagen Warmann Ghia 1967,Pretty Pink,The Wilder Hideout,Cool White,0500 9823,Purple,Diamond Hands,Type 1,Stock,Stock,Orange,Blue
0x47868f73c61e84b6b61f34fda3db7ae617e34dddb2cbaf732251ae6f26a50234,wilder.wheels.genesis.10,Wosler,ipfs://QmXcRnYj7FD9Q2Z4a4e4orkt1wLzrj4vg7DswjE9LzGvzd,ipfs://QmapkKHE1vzMNBEZuKMpNDJXxScDe7g81ZtmtxjoZyyYbX,ipfs://QmapkKHE1vzMNBEZuKMpNDJXxScDe7g81ZtmtxjoZyyYbX,WT900W 2010,disabled,Stock,Stock,Wosler WT900W 2010,Muted,The Wilder Hideout,Cool White,0912 1602,Blue,Horizon,Stock,Stock,Stock,Orange,Blue
0xde04af288d24a6d1b51edf0d98d3092ef194a2e4e6ac662460f11306deb9167a,wilder.wheels.genesis.100,Wotus,ipfs://QmYBZCPmMup7oFmFCyZo5f9sDMopHaxLvHk1B4WetTHPQz,ipfs://QmRtHxLeEcapUR98xh2qwEmF7n2164BChaML8tjyEpHFZH,ipfs://QmcSd8xBEkgRND7NhfQufRfBN1euGrRsfzcpxNFboDb9K4,Weneven 1956,disabled,Type 1,Stock,Wotus Weneven 1956,Intergalactic,The Wilder Hideout,Warm White,0500 4683,Blue,Blurred Lines,Stock,Type 1,Stock,Blue,Orange
0x7c70af1ced60e4c4ee96564227661872429dffc918147e7df021f274076fae7f,wilder.wheels.genesis.1000,WUMMER,ipfs://QmXjxQALvPPXJYrAuMBBV1BTiHTLDoSYk4oDt3rAnhvgSi,ipfs://QmbCR8dbERjevibBnNdgDFR9ETNwiFWgXiDwejqG8K6pFk,ipfs://QmbCR8dbERjevibBnNdgDFR9ETNwiFWgXiDwejqG8K6pFk,disabled,W1 Walpha 2006,Stock,Stock,WUMMER W1 Walpha 2006,Light Spectrum,Blue Studio,Cool White,0032 0127,Purple,Blurred Lines,Stock,Stock,Type 1,Orange,Orange
0xceae4e5cb02f0f896a5ca6830d31a30b37f01e1b363de5279cf0c8d3fa5f3bf4,wilder.wheels.genesis.10000,Waudi,ipfs://QmZHeiYfA4DWK5QrvQWNiTR5D5EDPfbQR6j2XMczYXab8b,ipfs://QmZGr55szMTbAsFEJWFC8JkmVMZgPwRvEbDAsXkciexPJb,ipfs://QmZGr55szMTbAsFEJWFC8JkmVMZgPwRvEbDAsXkciexPJb,disabled,W8 Sport West 2006,Stock,Stock,Waudi W8 Sport West 2006,Deep Blue,Purple Studio,Cool White,0170 0162,Purple,Solstice,Stock,Type 1,Stock,Orange,Orange
0xf21a70d377f8a57949578e4a042fc16c45758c4abdcfe009d09a6c2bdb350137,wilder.wheels.genesis.10001,Waudi,ipfs://QmeHR743AEp12uneij9VWXBy4QoAVvcUF4YKXMUKcbqvCr,ipfs://QmPemjVtfiaSU1Gd6JkYy2cXPrfhnWB8JYNdcxzXfy6FuQ,ipfs://QmPemjVtfiaSU1Gd6JkYy2cXPrfhnWB8JYNdcxzXfy6FuQ,disabled,W8 Sport West 2006,Stock,Stock,Waudi W8 Sport West 2006,Neon Dream,Purple Studio,Cool White,0161 0836,Blue,Equanimity,Stock,Stock,Stock,Blue,Orange
0x0a760aa44844e4242099e478f03593f5dae9c448c20d919b2e680e21cee1f422,wilder.wheels.genesis.10002,Waudi,ipfs://Qmbe6PRE8P9ed9M3R4giSgKhwcfPauC96RktXXirUpqsoH,ipfs://QmdT3dc4qBWa56pErU6yTh8Za8dpQ1XmTTy98S5PErcpyX,ipfs://QmdT3dc4qBWa56pErU6yTh8Za8dpQ1XmTTy98S5PErcpyX,disabled,W8 Sport West 2006,Stock,Stock,Waudi W8 Sport West 2006,Aquatic,Purple Studio,Cool White,0176 0451,Blue,Thunder,Stock,Type 1,Stock,Orange,Orange
0x31c6dab40def1745413a4694ae616bcdbabc91a555e28c543c34cea33227a1bf,wilder.wheels.genesis.10003,Waudi,ipfs://QmcVMTjErpFauXuWLZ7Yz1p9B9rAMTLwasRs7hBQA8S3L4,ipfs://QmTYmeiZPL2L26FCZ8beK3Z6t7znHz2uWRmhjctqyCr4rQ,ipfs://QmTYmeiZPL2L26FCZ8beK3Z6t7znHz2uWRmhjctqyCr4rQ,disabled,W8 Sport West 2006,Stock,Stock,Waudi W8 Sport West 2006,Deep Blue,Purple Studio,Warm White,0163 0121,Blue,Thunder,Stock,Stock,Stock,Orange,Blue
0x75c5db12af1537985ab8e3ff70ea899759a644dafcb5533e5823d1c67662aa5a,wilder.wheels.genesis.10004,Wadillac,ipfs://QmRGXfmFnWZQBnRzwRi9mf7mtwnwJYAN7dTj875viJ9us3,ipfs://QmSLvRu3C98mG14vZsd5UUuL86DuZcxxsbvckPVkkHLi9F,ipfs://QmSLvRu3C98mG14vZsd5UUuL86DuZcxxsbvckPVkkHLi9F,disabled,Worldorado Wiarritz Convertible 1965,Stock,Stock,Wadillac Worldorado Wiarritz Convertible 1965,Beam Up,Red Studio,Cool White,0257 0476,Blue,Emergent,Stock,Stock,Stock,Orange,Orange
